,orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight,productID,unitPrice_orders,quantity,discount,companyName_customers,contactName,contactTitle,city_customer,country_customer,categoryID,categoryName,description,productName,quantityPerUnit,unitPrice_products,discontinued,employeeName,title,city_employees,country_employees,reportsTo,companyName_shippers,Mon_Day_orderDate,Year_Quarter_orderDate,weeks_of_year_orderDate,Year_Month_orderDate,days_difference_required_shipped,Sales,freight_ratio_of_sales,percentile_unitPrice_orders,country_customer_rank_sales,companyName_customers_rank_Sales,product_rank_sales,employee_rank_sales,city_customer_rank_freight,day_order,month_order,quarter_order,year_order,weekofyear_order
0,10258,ERNSH,1,2013-07-17,2013-08-14,2013-07-23,1,140.51,2,15.2,50,0.2,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chang,24 - 12 oz bottles,19.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jul-Wed,2013-Q3,2013-W28,2013-Jul,22,607.9999923706055,23.11,<0.8%,3,2,25,3,2,Wednesday,July,3,2013,28
1,10991,QUICK,1,2015-04-01,2015-04-29,2015-04-07,1,38.51,2,19.0,50,0.2,Quick Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chang,24 - 12 oz bottles,19.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Apr-Wed,2015-Q2,2015-W13,2015-Apr,22,759.9999904632568,5.067,<0.8%,2,1,25,3,3,Wednesday,April,2,2015,13
2,10813,RICAR,1,2015-01-05,2015-02-02,2015-01-09,1,47.38,2,19.0,12,0.2,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Rio de Janeiro,Brazil,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chang,24 - 12 oz bottles,19.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jan-Mon,2015-Q1,2015-W01,2015-Jan,24,182.39999771118164,25.976,<0.4%,4,33,25,3,11,Monday,January,1,2015,01
3,10469,WHITC,1,2014-03-10,2014-04-07,2014-03-14,1,60.18,2,15.2,40,0.15,White Clover Markets,Karl Jablonski,Owner,Seattle,USA,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chang,24 - 12 oz bottles,19.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Mar-Mon,2014-Q1,2014-W10,2014-Mar,24,516.8000030517578,11.645,<0.7%,1,10,25,3,13,Monday,March,1,2014,10
4,11027,BOTTM,1,2015-04-16,2015-05-14,2015-04-20,1,52.52,24,4.5,30,0.25,Bottom Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Guarana Fantastica,12 - 355 ml cans,4.5,1,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Apr-Thu,2015-Q2,2015-W15,2015-Apr,24,101.25,51.872,<0.2%,9,18,63,3,29,Thursday,April,2,2015,15
5,10275,MAGAA,1,2013-08-07,2013-09-04,2013-08-09,1,26.93,24,3.6,12,0.05,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Bergamo,Italy,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Guarana Fantastica,12 - 355 ml cans,4.5,1,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Aug-Wed,2013-Q3,2013-W31,2013-Aug,26,41.039998054504395,65.619,<0.1%,17,44,63,3,39,Wednesday,August,3,2013,31
6,10587,QUEDE,1,2014-07-02,2014-07-30,2014-07-09,1,62.52,35,18.0,20,0.0,Que Delícia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Steeleye Stout,24 - 12 oz bottles,18.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jul-Wed,2014-Q3,2014-W26,2014-Jul,21,360.0,17.367,<0.6%,4,48,31,3,11,Wednesday,July,3,2014,26
7,10821,SPLIR,1,2015-01-08,2015-02-05,2015-01-15,1,36.68,35,18.0,20,0.0,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,USA,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Steeleye Stout,24 - 12 oz bottles,18.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Jan-Thu,2015-Q1,2015-W01,2015-Jan,21,360.0,10.189,<0.6%,1,37,31,3,35,Thursday,January,1,2015,01
8,10921,VAFFE,1,2015-03-03,2015-04-14,2015-03-09,1,176.48,35,18.0,10,0.0,Vaffeljernet,Palle Ibsen,Sales Manager,Århus,Denmark,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Steeleye Stout,24 - 12 oz bottles,18.0,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Mar-Tue,2015-Q1,2015-W09,2015-Mar,36,180.0,98.044,<0.3%,12,27,31,3,22,Tuesday,March,1,2015,09
9,10351,ERNSH,1,2013-11-11,2013-12-09,2013-11-20,1,162.33,38,210.8,20,0.05,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Côte De Blaye,12 - 75 cl bottles,263.5,0,Nancy Davolio,Sales Representative,New York,USA,8,Speedy Express,Nov-Mon,2013-Q4,2013-W45,2013-Nov,19,4005.1998901367188,4.053,<1.0%,3,2,1,3,2,Monday,November,4,2013,45
